k4,k6,k12,k18,k30,k4_g,k6_g,k12_g,k18_g,k30_g
0.699514349,0.8976,0.984900662,0.955428571,0.927165932,378.4356436,404.5247525,407.049505,384.3267327,323.7326733
0.684768212,0.8844,0.98799117,0.960333333,0.933015174,376.7821782,403.5445545,408.0891089,387.3861386,330.8316832
0.669668874,0.8704,0.990728477,0.964952381,0.938619677,375.0891089,402.5049505,409.009901,390.2673267,337.6336634
0.654216336,0.8556,0.993112583,0.969285714,0.943979442,373.3564356,401.4059406,409.8118812,392.970297,344.1386139
0.638410596,0.84,0.995143488,0.973333333,0.949094469,371.5841584,400.2475248,410.4950495,395.4950495,350.3465347
0.622251656,0.8236,0.996821192,0.977095238,0.953964758,369.7722772,399.029703,411.0594059,397.8415842,356.2574257
0.605739514,0.8064,0.998145695,0.980571429,0.958590308,367.9207921,397.7524752,411.5049505,400.009901,361.8712871
0.588874172,0.7884,0.999116998,0.983761905,0.962971121,366.029703,396.4158416,411.8316832,402,367.1881188
0.571655629,0.7696,0.999735099,0.986666667,0.967107195,364.0990099,395.019802,412.039604,403.8118812,372.2079208
0.554083885,0.75,1,0.989285714,0.970998532,362.1287129,393.5643564,412.1287129,405.4455446,376.9306931
0.53615894,0.7296,0.9999117,0.991619048,0.97464513,360.1188119,392.049505,412.0990099,406.9009901,381.3564356
0.517880795,0.7084,0.999470199,0.993666667,0.97804699,358.0693069,390.4752475,411.950495,408.1782178,385.4851485
0.499249448,0.6864,0.998675497,0.995428571,0.981204112,355.980198,388.8415842,411.6831683,409.2772277,389.3168317
0.480264901,0.6636,0.997527594,0.996904762,0.984116495,353.8514851,387.1485149,411.2970297,410.1980198,392.8514851
0.460927152,0.64,0.99602649,0.998095238,0.986784141,351.6831683,385.3960396,410.7920792,410.9405941,396.0891089
0.441236203,0.6156,0.994172185,0.999,0.989207048,349.4752475,383.5841584,410.1683168,411.5049505,399.029703
0.421192053,0.5904,0.99196468,0.999619048,0.991385218,347.2277228,381.7128713,409.4257426,411.8910891,401.6732673
0.400794702,0.5644,0.989403974,0.999952381,0.993318649,344.9405941,379.7821782,408.5643564,412.0990099,404.019802
0.38004415,0.5376,0.986490066,1,0.995007342,342.6138614,377.7920792,407.5841584,412.1287129,406.0693069
0.358940397,0.51,0.983222958,0.999761905,0.996451297,340.2475248,375.7425743,406.4851485,411.980198,407.8217822
0.337483444,0.4816,0.979602649,0.999238095,0.997650514,337.8415842,373.6336634,405.2673267,411.6534653,409.2772277
0.315673289,0.4524,0.975629139,0.998428571,0.998604993,335.3960396,371.4653465,403.9306931,411.1485149,410.4356436
0.293509934,0.4224,0.971302428,0.997333333,0.999314733,332.9108911,369.2376238,402.4752475,410.4653465,411.2970297
0.270993377,0.3916,0.966622517,0.995952381,0.999779736,330.3861386,366.950495,400.9009901,409.6039604,411.8613861
0.24812362,0.36,0.961589404,0.994285714,1,327.8217822,364.6039604,399.2079208,408.5643564,412.1287129
0.224900662,0.3276,0.956203091,0.992333333,0.999975526,325.2178218,362.1980198,397.3960396,407.3465347,412.0990099
0.201324503,0.2944,0.950463576,0.990095238,0.999706314,322.5742574,359.7326733,395.4653465,405.950495,411.7722772
0.177395143,0.2604,0.944370861,0.987571429,0.999192364,319.8910891,357.2079208,393.4158416,404.3762376,411.1485149
0.153112583,0.2256,0.937924945,0.984761905,0.998433676,317.1683168,354.6237624,391.2475248,402.6237624,410.2277228
0.128476821,0.19,0.931125828,0.981666667,0.99743025,314.4059406,351.980198,388.960396,400.6930693,409.009901
0.103487859,0.1536,0.92397351,0.978285714,0.996182085,311.6039604,349.2772277,386.5544554,398.5841584,407.4950495
0.078145695,0.1164,0.916467991,0.974619048,0.994689183,308.7623762,346.5148515,384.029703,396.2970297,405.6831683
0.052450331,0.0784,0.908609272,0.970666667,0.992951542,305.8811881,343.6930693,381.3861386,393.8316832,403.5742574
0.026401766,0.0396,0.900397351,0.966428571,0.990969163,302.960396,340.8118812,378.6237624,391.1881188,401.1683168
0,0,0.89183223,0.961904762,0.988742046,300,337.8712871,375.7425743,388.3663366,398.4653465
